route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"RWS",6,4806,"Rockaway",20103,0,201,4
"RWS",6,4807,"Rockaway",20105,0,201,4
"RWS",6,4808,"Rockaway",20107,0,201,4
"RWS",6,4809,"Rockaway",20109,0,201,4
"RWS",6,4810,"Rockaway",20111,0,201,4
"RWS",6,4811,"Rockaway",20113,0,201,4
"RWS",6,4812,"Rockaway",20115,0,201,4
"RWS",6,4813,"Rockaway",20117,0,201,4
"RWS",6,4814,"Rockaway",20119,0,201,4
"RWS",6,4815,"Rockaway",20121,0,201,4
"RWS",6,4816,"Rockaway",20123,0,201,4
"RWS",6,4817,"Rockaway",20125,0,201,4
"RWS",6,4818,"Rockaway",20127,0,201,4
"RWS",6,4819,"Rockaway",20129,0,201,4
"RWS",6,4820,"Rockaway",20131,0,201,4
"RWS",6,4821,"Rockaway",20133,0,201,4
"RWS",6,4822,"Rockaway",20135,0,201,4
"RWS",6,4823,"Rockaway",20137,0,201,4
"RWS",6,4824,"Rockaway",20139,0,201,4
"RWS",6,4825,"Rockaway",20141,0,201,4
"RWS",6,4826,"Rockaway West",20104,1,201,2
"RWS",6,4827,"Rockaway West",20106,1,201,2
"RWS",6,4828,"Rockaway West",20108,1,201,2
"RWS",6,4829,"Rockaway West",20110,1,201,2
"RWS",6,4830,"Rockaway West",20112,1,201,2
"RWS",6,4831,"Rockaway West",20114,1,201,2
"RWS",6,4832,"Rockaway West",20116,1,201,2
"RWS",6,4833,"Rockaway West",20118,1,201,2
"RWS",6,4834,"Rockaway West",20120,1,201,2
"RWS",6,4835,"Rockaway West",20122,1,201,2
"RWS",6,4836,"Rockaway West",20124,1,201,2
"RWS",6,4837,"Rockaway West",20126,1,201,2
"RWS",6,4838,"Rockaway West",20128,1,201,2
"RWS",6,4839,"Rockaway West",20130,1,201,2
"RWS",6,4840,"Rockaway West",20132,1,201,2
"RWS",6,4841,"Rockaway West",20134,1,201,2
